user_id,ll_pooled,ll_pers,test_purchases,delta_ll
59,-9.607325117510698,-14.687319241571945,2.0,5.079994124061248
137,-6.074409518502565,-5.774783782284581,1.0,-0.2996257362179833
267,-2.5524120763671134,-2.9999202620151957,0.0,0.44750818564808226
306,-24.860378005381094,-26.63875158266729,6.0,1.778373577286196
341,-10.485894671060473,-11.778165553171661,2.0,1.292270882111188
418,-8.154917670452273,-9.471951318181034,2.0,1.3170336477287616
801,-4.6236769238936395,-2.088772687414786,0.0,-2.5349042364788534
961,-3.0171628904650194,-3.911067836615605,0.0,0.8939049461505855
996,-52.42972729943942,-44.55057546920792,17.0,-7.8791518302315
1042,-2.1202588813471115,-0.6250334561147853,0.0,-1.4952254252323263
1160,-23.78739193709991,-26.550353115128022,9.0,2.762961178028114
1267,-5.215387581733986,-6.439775386085863,1.0,1.2243878043518768
1353,-8.286425634410376,-1.7850568292146498,0.0,-6.501368805195726
1378,-7.120893032867631,-7.5379089290637165,1.0,0.4170158961960855
1553,-34.73568729236572,-32.598627536875796,13.0,-2.137059755489922
1748,-24.488069317876136,-23.877590651471593,7.0,-0.6104786664045427
1881,-2.602804767367645,-1.4885543858120807,0.0,-1.1142503815555642
1887,-19.30456102350385,-17.68887449928371,5.0,-1.6156865242201413
1933,-24.85598658141608,-26.213978311673323,8.0,1.3579917302572433
2209,-9.312625145953444,-8.63400447097368,2.0,-0.6786206749797632
2232,-54.67166969734715,-44.16006410991499,16.0,-10.511605587432157
2249,-6.011769322309148,-5.8609970023514695,1.0,-0.15077231995767892
2293,-20.649635297436692,-16.929521109861703,6.0,-3.720114187574989
2340,-5.955466184680215,-4.969887973140411,1.0,-0.9855782115398037
2596,-20.380146831380216,-22.73923454650528,4.0,2.3590877151250638
2647,-31.494387434436394,-28.638014556680233,9.0,-2.8563728777561614
2740,-6.5409014825575476,-4.874564710645547,1.0,-1.6663367719120004
2807,-6.129225512222444,-8.861711304089756,1.0,2.7324857918673118
2812,-13.046787470430807,-11.9321917419481,3.0,-1.1145957284827066
2873,-3.8044437349166733,-4.2147836948157416,0.0,0.41033995989906824
3001,-131.76074552753806,-124.43414258936586,85.0,-7.326602938172201
3042,-6.765536867652036,-7.630290971663316,1.0,0.8647541040112792
3325,-12.487745931956756,-14.51324223772237,4.0,2.025496305765614
3367,-13.745334165064781,-15.819124878463025,3.0,2.0737907133982443
3485,-29.14963162877456,-29.520517462429126,9.0,0.3708858336545653
3552,-3.149014366588122,-3.607351978415468,0.0,0.45833761182734634
3631,-2.4254133679073115,-2.3924885456149223,0.0,-0.032924822292389244
3733,-16.106834307300517,-16.68064730925622,4.0,0.5738130019557026
3761,-2.721884176665446,-2.3924885456149223,0.0,-0.3293956310505237
3774,-2.2580796224281126,-2.797533821828502,0.0,0.5394541994003896
3883,-8.80294653767779,-8.818588366347269,2.0,0.015641828669478386
3896,-30.645402790146388,-28.165199583359534,8.0,-2.480203206786854
3905,-19.843478385334063,-24.353507360308427,4.0,4.5100289749743645
3952,-31.999792946729848,-27.143442819804175,8.0,-4.856350126925673
3955,-14.595309259203475,-17.42636336177284,4.0,2.8310541025693645
3956,-21.414131658042695,-21.921513250965788,7.0,0.5073815929230925
3979,-5.699836249234589,-5.988400958606176,1.0,0.2885647093715873
4073,-24.06981515937203,-22.485901735724973,6.0,-1.5839134236470578
4344,-2.9967773547980485,-2.9999202620151957,0.0,0.0031429072171471617
4453,-6.150256097855004,-5.277973242871076,1.0,-0.8722828549839274
4650,-24.771918258607986,-28.56507576878199,7.0,3.793157510174005
4711,-41.37493009275329,-39.259679225078074,17.0,-2.115250867675215
4730,-90.3649700872103,-101.8603591529457,32.0,11.49538906573541
4753,-14.30518323566958,-12.389515549309428,3.0,-1.9156676863601518
4892,-12.389460815625934,-11.669179003334765,3.0,-0.7202818122911694
5010,-45.566374328913525,-40.53520015067958,17.0,-5.031174178233947
5020,-29.206566129096906,-30.2030412718843,10.0,0.9964751427873928
5043,-15.324683909932432,-12.630130779639513,3.0,-2.6945531302929187
5120,-6.228371055529722,-6.5210370084587606,1.0,0.2926659529290383
5331,-21.006309210823435,-19.400186661301863,5.0,-1.6061225495215723
5340,-31.48159337495281,-31.696198026658017,11.0,0.21460465170520848
5552,-35.53527524635074,-40.22918530332982,12.0,4.693910056979078
5568,-18.216830222357345,-18.842487025870362,5.0,0.6256568035130172
5761,-9.828367668714197,-10.563628095559405,2.0,0.7352604268452083
5867,-30.40671352348914,-29.168185744729485,7.0,-1.2385277787596571
5887,-5.716977722530461,-5.5060413400389585,1.0,-0.2109363824915027
5912,-39.396540795850136,-34.623289815674035,13.0,-4.773250980176101
5932,-5.927913987683818,-5.133080292239298,1.0,-0.7948336954445194
6321,-13.576264061425144,-12.18815544095702,3.0,-1.3881086204681239
6350,-48.43678587114506,-45.44070525746752,20.0,-2.9960806136775417
6411,-2.6812608031165217,-1.177625112814377,0.0,-1.5036356903021446
6442,-17.966796801161887,-17.789061651299,5.0,-0.17773514986288674
6713,-10.828955807290185,-9.684178208595085,2.0,-1.1447775986951
6977,-2.397614621373147,-6.644510560416832,0.0,4.246895939043686
7070,-69.79314176798194,-90.04579834976215,30.0,20.252656581780215
7235,-53.14720925706649,-51.08541147911113,23.0,-2.0617977779553627
7261,-22.494422441693693,-26.460803480179848,8.0,3.966381038486155
7388,-38.584265847346835,-62.26557720324157,14.0,23.681311355894735
7395,-25.979701857610348,-24.2993948944948,8.0,-1.680306963115548
7398,-2.1325772663002827,-1.7850568292146498,0.0,-0.34752043708563285
7409,-22.67470927921665,-32.32504430941826,8.0,9.65033503020161
7438,-7.613134694280532,-8.424544709914263,2.0,0.8114100156337312
7613,-75.51684160837623,-67.94442790798222,29.0,-7.572413700394009
7733,-16.505226836971836,-15.525234965469908,4.0,-0.9799918715019285
7766,-4.9883910668960505,-4.639467012541562,1.0,-0.34892405435448826
7802,-22.570662332464988,-21.907898006288804,6.0,-0.662764326176184
7841,-2.710291834938598,-0.8739092546142408,0.0,-1.8363825803243572
7900,-16.09076020424582,-15.183423269236169,4.0,-0.9073369350096527
