user_id,ll_joint,ll_pers,test_purchases,delta_ll
59,-12.034275099022546,-14.687319241571945,2.0,2.6530441425493994
137,-5.480945153723883,-5.774783782284581,1.0,0.29383862856069864
267,-2.9915286515102983,-2.9999202620151957,0.0,0.00839161050489734
306,-27.092873280780623,-26.63875158266729,6.0,-0.45412169811333314
341,-11.743538827019117,-11.778165553171661,2.0,0.034626726152543696
418,-7.554521447996805,-9.471951318181034,2.0,1.917429870184229
801,-2.4731165971836955,-2.088772687414786,0.0,-0.3843439097689094
961,-3.0650768450905588,-3.911067836615605,0.0,0.8459909915250461
996,-46.56501320195711,-44.55057546920792,17.0,-2.0144377327491867
1042,-0.1887249659661486,-0.6250334561147853,0.0,0.4363084901486367
1160,-24.652085685901966,-26.550353115128022,9.0,1.8982674292260562
1267,-5.83412017315913,-6.439775386085863,1.0,0.6056552129267327
1353,-3.546716943779784,-1.7850568292146498,0.0,-1.7616601145651343
1378,-7.824387430816094,-7.5379089290637165,1.0,-0.2864785017523772
1553,-33.78870241562953,-32.598627536875796,13.0,-1.1900748787537339
1748,-23.784475621587077,-23.877590651471593,7.0,0.09311502988451537
1881,-1.2567653632664437,-1.4885543858120807,0.0,0.23178902254563694
1887,-18.3595639821497,-17.68887449928371,5.0,-0.670689482865992
1933,-26.512090890205908,-26.213978311673323,8.0,-0.2981125785325851
2209,-8.870971943980614,-8.63400447097368,2.0,-0.2369674730069331
2232,-45.34733483965978,-44.16006410991499,16.0,-1.1872707297447889
2249,-6.207324122222334,-5.8609970023514695,1.0,-0.34632711987086484
2293,-16.970173382069607,-16.929521109861703,6.0,-0.040652272207903906
2340,-5.263121433681511,-4.969887973140411,1.0,-0.2932334605411002
2596,-19.702501508625513,-22.73923454650528,4.0,3.036733037879767
2647,-29.314857834250155,-28.638014556680233,9.0,-0.6768432775699225
2740,-5.07097634324445,-4.874564710645547,1.0,-0.19641163259890249
2807,-8.16871417732127,-8.861711304089756,1.0,0.6929971267684856
2812,-12.426500613021627,-11.9321917419481,3.0,-0.4943088710735264
2873,-3.7627843589181964,-4.2147836948157416,0.0,0.45199933589754515
3001,-131.25079057615307,-124.43414258936586,85.0,-6.816647986787203
3042,-7.628765893881616,-7.630290971663316,1.0,0.0015250777816993022
3325,-12.84912989539488,-14.51324223772237,4.0,1.6641123423274902
3367,-13.682883413632455,-15.819124878463025,3.0,2.1362414648305705
3485,-28.370073881170413,-29.520517462429126,9.0,1.1504435812587133
3552,-3.042067386033369,-3.607351978415468,0.0,0.565284592382099
3631,-1.6410514916048307,-2.3924885456149223,0.0,0.7514370540100916
3733,-17.28035933470982,-16.68064730925622,4.0,-0.5997120254536021
3761,-2.167048564935535,-2.3924885456149223,0.0,0.2254399806793872
3774,-2.263432271677948,-2.797533821828502,0.0,0.5341015501505542
3883,-8.6823108069284,-8.818588366347269,2.0,0.13627755941886832
3896,-28.519675089949363,-28.165199583359534,8.0,-0.3544755065898286
3905,-31.945117377798034,-24.353507360308427,4.0,-7.591610017489607
3952,-28.202076149483375,-27.143442819804175,8.0,-1.0586333296791999
3955,-15.491098893571731,-17.42636336177284,4.0,1.9352644682011082
3956,-21.112626017111815,-21.921513250965788,7.0,0.808887233853973
3979,-6.015288827600703,-5.988400958606176,1.0,-0.026887868994526443
4073,-22.512195795972065,-22.485901735724973,6.0,-0.026294060247092688
4344,-2.805959769381456,-2.9999202620151957,0.0,0.1939604926337397
4453,-5.398234643126774,-5.277973242871076,1.0,-0.1202614002556972
4650,-25.57934974466274,-28.56507576878199,7.0,2.985726024119252
4711,-39.30422692362956,-39.259679225078074,17.0,-0.044547698551482995
4730,-93.19299222176681,-101.8603591529457,32.0,8.66736693117889
4753,-13.275095143505768,-12.389515549309428,3.0,-0.88557959419634
4892,-12.215747471771019,-11.669179003334765,3.0,-0.546568468436254
5010,-41.74594523641659,-40.53520015067958,17.0,-1.2107450857370097
5020,-28.747413858108594,-30.2030412718843,10.0,1.455627413775705
5043,-14.176509673495675,-12.630130779639513,3.0,-1.5463788938561613
5120,-6.832441180141128,-6.5210370084587606,1.0,-0.31140417168236745
5331,-20.50709141586425,-19.400186661301863,5.0,-1.106904754562386
5340,-30.547898116725687,-31.696198026658017,11.0,1.14829990993233
5552,-36.822855420745434,-40.22918530332982,12.0,3.4063298825843873
5568,-17.867777140297022,-18.842487025870362,5.0,0.9747098855733398
5761,-10.407651030917847,-10.563628095559405,2.0,0.15597706464155792
5867,-31.710539270734213,-29.168185744729485,7.0,-2.542353526004728
5887,-7.340846886475071,-5.5060413400389585,1.0,-1.8348055464361126
5912,-36.474428695717826,-34.623289815674035,13.0,-1.8511388800437913
5932,-5.336007428201407,-5.133080292239298,1.0,-0.20292713596210898
6321,-13.116758467633572,-12.18815544095702,3.0,-0.9286030266765515
6350,-45.71695719129795,-45.44070525746752,20.0,-0.2762519338304301
6411,-1.1727978167779463,-1.177625112814377,0.0,0.004827296036430839
6442,-18.362028844541594,-17.789061651299,5.0,-0.5729671932425937
6713,-11.007950467573012,-9.684178208595085,2.0,-1.323772258977927
6977,-6.672351634921154,-6.644510560416832,0.0,-0.027841074504321384
