user_id,ll_joint,ll_experimental_1_hawkes,test_purchases,delta_ll
59,-12.034275099022546,-13.373193930581875,2.0,1.3389188315593294
137,-5.480945153723883,-5.697978744955249,1.0,0.2170335912313659
267,-2.9915286515102983,-2.612723763933891,0.0,-0.3788048875764072
306,-27.092873280780623,-26.70184236118765,6.0,-0.3910309195929713
341,-11.743538827019117,-11.40503441943066,2.0,-0.33850440758845757
418,-7.554521447996805,-7.82858256351984,2.0,0.27406111552303436
801,-2.4731165971836955,-2.6242640876370564,0.0,0.15114749045336096
961,-3.0650768450905588,-3.5768324883163123,0.0,0.5117556432257535
996,-46.56501320195711,-45.86666929670018,17.0,-0.6983439052569267
1042,-0.1887249659661486,-0.5458665012413171,0.0,0.35714153527516845
1160,-24.652085685901966,-25.10797475785918,9.0,0.4558890719572126
1267,-5.83412017315913,-5.956727046211585,1.0,0.12260687305245455
1353,-3.546716943779784,-3.496636491959175,0.0,-0.05008045182060927
1378,-7.824387430816094,-7.3655821667671635,1.0,-0.4588052640489302
1553,-33.78870241562953,-33.211845862744305,13.0,-0.576856552885225
1748,-23.784475621587077,-23.27013920897159,7.0,-0.5143364126154886
1881,-1.2567653632664437,-1.3937783186249644,0.0,0.13701295535852065
1887,-18.3595639821497,-18.06233927025952,5.0,-0.2972247118901805
1933,-26.512090890205908,-26.05349064742433,8.0,-0.4586002427815785
2209,-8.870971943980614,-8.716352746765974,2.0,-0.15461919721463957
2232,-45.34733483965978,-44.47677915565906,16.0,-0.8705556840007205
2249,-6.207324122222334,-5.767848935919439,1.0,-0.4394751863028956
2293,-16.970173382069607,-17.5246582361182,6.0,0.5544848540485923
2340,-5.263121433681511,-5.167551789398865,1.0,-0.09556964428264614
2596,-19.702501508625513,-22.720639970660564,4.0,3.0181384620350507
2647,-29.314857834250155,-28.5534224813659,9.0,-0.7614353528842557
2740,-5.07097634324445,-4.968432798682659,1.0,-0.10254354456179104
2807,-8.16871417732127,-8.11645901297036,1.0,-0.05225516435091038
2812,-12.426500613021627,-12.254562298314992,3.0,-0.1719383147066349
2873,-3.7627843589181964,-3.955178829140212,0.0,0.19239447022201572
3001,-131.25079057615307,-122.04105845512032,85.0,-9.209732121032744
3042,-7.628765893881616,-7.293115185530692,1.0,-0.3356507083509239
3325,-12.84912989539488,-13.25845352835191,4.0,0.40932363295702956
3367,-13.682883413632455,-14.87841970600366,3.0,1.1955362923712052
3485,-28.370073881170413,-28.568602570997307,9.0,0.19852868982689387
3552,-3.042067386033369,-3.36107252300983,0.0,0.31900513697646105
3631,-1.6410514916048307,-2.1311500707295807,0.0,0.4900985791247501
3733,-17.28035933470982,-16.559115721764883,4.0,-0.7212436129449387
3761,-2.167048564935535,-2.217788252803767,0.0,0.0507396878682318
3774,-2.263432271677948,-2.3735364368832808,0.0,0.11010416520533273
3883,-8.6823108069284,-8.626464167921355,2.0,-0.05584663900704534
3896,-28.519675089949363,-28.542234530080783,8.0,0.022559440131420416
3905,-31.945117377798034,-25.746924171866898,4.0,-6.198193205931137
3952,-28.202076149483375,-27.575564331557555,8.0,-0.6265118179258202
3955,-15.491098893571731,-15.350054919321384,4.0,-0.14104397425034776
3956,-21.112626017111815,-21.374795106699786,7.0,0.2621690895879709
3979,-6.015288827600703,-5.765885761271051,1.0,-0.24940306632965203
4073,-22.512195795972065,-22.317875844803915,6.0,-0.1943199511681506
4344,-2.805959769381456,-2.770664502246164,0.0,-0.035295267135292185
4453,-5.398234643126774,-5.365700382046011,1.0,-0.032534261080762406
4650,-25.57934974466274,-26.53470364036853,7.0,0.955353895705791
4711,-39.30422692362956,-39.20542938964122,17.0,-0.09879753398833913
4730,-93.19299222176681,-96.99751026345967,32.0,3.804518041692859
4753,-13.275095143505768,-13.039726043327136,3.0,-0.235369100178632
4892,-12.215747471771019,-12.074510651252712,3.0,-0.14123682051830677
5010,-41.74594523641659,-41.01259006227334,17.0,-0.7333551741432487
5020,-28.747413858108594,-29.330891396073444,10.0,0.5834775379648498
5043,-14.176509673495675,-13.488709499020064,3.0,-0.6878001744756101
5120,-6.832441180141128,-6.289657850506733,1.0,-0.5427833296343954
5331,-20.50709141586425,-19.8295654057123,5.0,-0.6775260101519471
5340,-30.547898116725687,-30.919682100261365,11.0,0.37178398353567843
5552,-36.822855420745434,-38.88060200744546,12.0,2.057746586700027
5568,-17.867777140297022,-17.704949361409785,5.0,-0.16282777888723743
5761,-10.407651030917847,-10.38502514454858,2.0,-0.022625886369267434
5867,-31.710539270734213,-30.207959924552867,7.0,-1.5025793461813457
5887,-7.340846886475071,-5.230587412561636,1.0,-2.110259473913435
5912,-36.474428695717826,-35.278878299266424,13.0,-1.1955503964514023
5932,-5.336007428201407,-5.2256708102250355,1.0,-0.11033661797637162
6321,-13.116758467633572,-12.680993880612109,3.0,-0.43576458702146326
6350,-45.71695719129795,-45.599279735157126,20.0,-0.11767745614082514
6411,-1.1727978167779463,-1.1096979680737775,0.0,-0.06309984870416874
6442,-18.362028844541594,-17.559930474890333,5.0,-0.8020983696512616
6713,-11.007950467573012,-10.275230915750146,2.0,-0.732719551822866
6977,-6.672351634921154,-5.576137591322089,0.0,-1.0962140435990646
7070,-73.66828145999551,-81.01001360692956,30.0,7.341732146934049
7235,-49.56587855503703,-50.10587275135875,23.0,0.5399941963217216
7261,-23.465551694155476,-24.28886661803807,8.0,0.8233149238825952
7388,-46.493625012896864,-48.54097880141393,14.0,2.0473537885170643
7395,-23.92780020593727,-24.05980061265753,8.0,0.13200040672025892
7398,-1.150596765909283,-1.5044341999485702,0.0,0.35383743403928714
7409,-22.618399450885594,-27.123722881012803,8.0,4.505323430127209
7438,-7.623720312806444,-7.853708629599352,2.0,0.229988316792908
7613,-68.45008942496334,-68.25313869171272,29.0,-0.19695073325061685
7733,-15.85293859229117,-15.455101581241449,4.0,-0.397837011049722
7766,-5.010396960658208,-4.820069865378401,1.0,-0.19032709527980707
7802,-22.310511262496462,-22.147966466400437,6.0,-0.16254479609602512
7841,-1.1723224343236474,-0.9397200005504334,0.0,-0.232602433773214
7900,-15.550122997239747,-15.325836946330847,4.0,-0.22428605090889953
7923,-11.681487530442354,-11.486797149839882,3.0,-0.1946903806024718
7949,-5.812616607732749,-5.9051827565682995,1.0,0.0925661488355507
8108,-18.84546418221606,-18.81856863155444,5.0,-0.026895550661617307
8203,-13.156186990063505,-12.804981044935886,3.0,-0.35120594512761905
8344,-37.82916922177191,-37.42141798804818,14.0,-0.40775123372373656
8403,-9.114822778925218,-8.880971544189261,2.0,-0.23385123473595648
8585,-11.50325903969539,-12.12081155654089,3.0,0.6175525168454996
8616,-13.704080811524442,-13.990047669698304,4.0,0.2859668581738628
8766,-8.643550338398063,-8.676700049317615,2.0,0.03314971091955243
8863,-3.7324912068265466,-4.2916420332805565,1.0,0.5591508264540099
8866,-5.1881171671057285,-5.2498729715509045,1.0,0.06175580444517603
8876,-6.409887995739506,-5.865099919528358,1.0,-0.5447880762111481
8902,-33.81997549677733,-33.70311218060608,12.0,-0.1168633161712549
9099,-5.9592124053454185,-5.679069625449911,1.0,-0.28014277989550784
9163,-7.028425797834361,-5.713506092692156,1.0,-1.3149197051422048
9230,-16.92112409290961,-17.911047031090344,5.0,0.9899229381807331
9264,-18.45813427925603,-19.68027482998641,4.0,1.22214055073038
9279,-16.30208172003982,-17.5539376713302,3.0,1.2518559512903806
9431,-215.27891460340777,-209.30943704651955,115.0,-5.969477556888222
9434,-13.895290572035433,-14.067408042322691,4.0,0.1721174702872581
9567,-2.1503309517924585,-2.1198650514960393,0.0,-0.030465900296419157
9591,-34.87436848338803,-35.108558510149514,9.0,0.23419002676148182
9772,-6.8991547254340455,-6.479309161556463,1.0,-0.41984556387758243
10022,-72.01983542824975,-76.52653121972212,32.0,4.506695791472367
10139,-9.678707974364553,-8.788535274774985,2.0,-0.8901726995895682
10299,-77.12683161368989,-75.23973276052809,29.0,-1.8870988531618025
10407,-34.88659784860407,-34.38095544042788,12.0,-0.5056424081761861
10415,-4.878758850060752,-4.990713978188724,1.0,0.11195512812797226
10436,-2.6462820176916453,-2.421189346549657,0.0,-0.22509267114198828
10446,-23.41374058936846,-23.253049357103347,6.0,-0.16069123226511195
10503,-13.90031482369186,-14.129538322463937,1.0,0.22922349877207715
10542,-0.16340570700618512,-0.5721894994239037,0.0,0.4087837924177186
10667,-36.51840381389913,-36.15831287262043,15.0,-0.360090941278699
10714,-5.019013159094246,-4.970879893968587,1.0,-0.048133265125659186
10761,-3.451440666067582,-2.9366048450645814,0.0,-0.5148358210030004
10954,-5.074903002746759,-5.098468911616296,1.0,0.023565908869536578
11028,-4.955039434105212,-4.9903469608367335,1.0,0.035307526731521044
11085,-29.941365359320503,-29.528710617424174,9.0,-0.4126547418963291
11355,-40.424358189919914,-45.44068865101683,12.0,5.0163304610969135
11500,-52.8800091853181,-53.189123076110505,20.0,0.30911389079240337
11667,-17.72039766746502,-18.040934245393903,5.0,0.320536577928884
11865,-15.546810459995731,-15.15370468209394,4.0,-0.39310577790179124
11961,-10.80192093309487,-10.4566650139718,2.0,-0.3452559191230691
12020,-5.400702328214346,-5.301517861863969,1.0,-0.09918446635037714
12048,-34.764082580832834,-34.03933624736246,11.0,-0.724746333470371
12174,-44.84261833065033,-46.3353909007115,16.0,1.4927725700611703
12187,-10.085995985570417,-9.485259386673937,2.0,-0.6007365988964803
12192,-1.850216355228139,-2.1207713129847865,0.0,0.2705549577566475
12396,-38.046471358187446,-37.36258314282832,14.0,-0.6838882153591257
12435,-21.241693650171378,-22.28185055251421,6.0,1.040156902342833
12467,-24.820786711244754,-26.17223554960086,6.0,1.3514488383561059
12492,-56.08884180763846,-56.79852906854954,18.0,0.7096872609110818
12505,-1.7256578669010878,-0.7586013232673104,0.0,-0.9670565436337774
12519,-60.24379342583018,-61.239778556388785,23.0,0.9959851305586085
12547,-19.288869352894572,-18.957742547360795,6.0,-0.3311268055337777
12905,-15.106043831355095,-11.0493461633434,2.0,-4.0566976680116955
13012,-22.855974478918196,-23.647439583770012,7.0,0.7914651048518166
13187,-68.29791809140916,-66.15959511844429,29.0,-2.138322972964872
13403,-52.15735551220078,-52.960595002211406,22.0,0.8032394900106254
13435,-15.076673115595886,-14.963288278618284,4.0,-0.11338483697760182
13442,-9.148486453504313,-5.46279543020169,1.0,-3.685691023302623
13495,-8.904873143270477,-8.662037759239825,2.0,-0.24283538403065208
13629,-37.36214345681229,-37.28859074858476,14.0,-0.07355270822753113
13731,-16.528617379741355,-16.4424199747929,4.0,-0.08619740494845374
13742,-3.3950393775987426,-3.261310319591854,0.0,-0.13372905800688883
13915,-13.771648250240569,-13.346330862813224,3.0,-0.42531738742734504
13985,-18.032435123627486,-18.12294287115363,5.0,0.09050774752614288
14049,-9.793499834110113,-9.43823976496003,2.0,-0.35526006915008246
14075,-1.4046269930044872,-2.0472194138783135,0.0,0.6425924208738263
14098,-4.020707057545974,-4.249483870501229,1.0,0.22877681295525498
14166,-41.470789228737594,-41.4873869909626,15.0,0.016597762225003976
14184,-9.1619781953757,-8.763527871261905,2.0,-0.398450324113794
14240,-12.808721286837331,-12.692357545110305,3.0,-0.11636374172702624
14263,-15.479548452768878,-15.373990449621234,4.0,-0.10555800314764419
14471,-29.914239545589588,-30.010187491733205,10.0,0.09594794614361746
14586,-0.9253748162748189,-1.2676445278034505,0.0,0.3422697115286316
14661,-5.551222548731453,-5.417031436924289,1.0,-0.13419111180716392
14786,-4.445843853890201,-3.7277541233424354,1.0,-0.7180897305477658
14792,-22.255613727714742,-23.295216266270952,8.0,1.0396025385562098
14816,-22.092470180286487,-23.21649635956819,7.0,1.124026179281703
14823,-21.629313706507517,-21.95924055226149,7.0,0.3299268457539739
14910,-57.31121101422714,-57.35116833029144,11.0,0.03995731606430297
14916,-39.07381375949996,-38.57967359193124,13.0,-0.49414016756872314
14937,-5.205327509668962,-5.110369364343756,1.0,-0.0949581453252053
15111,-26.07587827098616,-26.195763428345693,8.0,0.11988515735953342
15197,-11.55127786799019,-11.696008250634456,3.0,0.14473038264426563
15360,-15.713204280657052,-15.07347233730687,4.0,-0.6397319433501831
15370,-56.73474165805101,-55.70360768181767,22.0,-1.0311339762333347
15391,-6.9056629563595875,-5.881472524622158,1.0,-1.0241904317374297
15508,-25.58994260407419,-24.8064908600782,6.0,-0.7834517439959896
15517,-28.511262509202005,-32.02279277523293,8.0,3.511530266030924
15553,-12.162070836103261,-11.900074453957563,3.0,-0.2619963821456981
15580,-28.744935187678575,-28.901661845791367,11.0,0.15672665811279174
15613,-9.821602328614432,-9.667308760799408,2.0,-0.15429356781502435
15625,-70.49431609848607,-72.72716390810972,31.0,2.2328478096236495
15662,-11.837017372988276,-11.77280107851802,2.0,-0.06421629447025623
15671,-14.011023262866516,-13.775484085762512,3.0,-0.23553917710400363
